panel,model,repeat,roc_auc,pr_auc,brier
loo_without_f01,l2_logistic,0,0.6580459770114943,0.5629806142548976,0.23554917830876917
loo_without_f01,random_forest,0,0.6173807035876001,0.5072201952179289,0.2347391650479777
loo_without_f01,xgboost,0,0.5909961685823755,0.4775472710759929,0.2470571138161861
loo_without_f02,l2_logistic,0,0.6526471612678509,0.5503172282514011,0.23489906530977758
loo_without_f02,random_forest,0,0.6344479275513758,0.5018243605874705,0.2331064273719036
loo_without_f02,xgboost,0,0.6175548589341693,0.4744307481105824,0.24621701214883032
loo_without_f03,l2_logistic,0,0.6374956461163357,0.5466884396925766,0.23770692000586532
loo_without_f03,random_forest,0,0.5868164402647161,0.4747509391436713,0.24200236840764477
loo_without_f03,xgboost,0,0.5740160222918844,0.44957222370387045,0.2564754258767461
loo_without_f04,l2_logistic,0,0.6462904911180773,0.5482268776463639,0.2379642319103451
loo_without_f04,random_forest,0,0.6401950539881575,0.49702361298850034,0.2326475524750772
loo_without_f04,xgboost,0,0.6022291884360851,0.47020502899757377,0.2502280525593325
loo_without_f05,l2_logistic,0,0.6401950539881575,0.5505986598828072,0.2386724261796347
loo_without_f05,random_forest,0,0.6071055381400209,0.4940880333351683,0.23816378203956642
loo_without_f05,xgboost,0,0.5707070707070707,0.45112127172249594,0.2610715881570428
loo_without_f06,l2_logistic,0,0.6619644723092999,0.5510462731791583,0.23697934659294
loo_without_f06,random_forest,0,0.6053639846743295,0.4848683374296437,0.23757251597428222
loo_without_f06,xgboost,0,0.5846394984326019,0.4585514438835336,0.251965050158314
loo_without_f07,l2_logistic,0,0.6586555207244863,0.529165047213472,0.23908046792683624
loo_without_f07,random_forest,0,0.6367119470567747,0.5024843533407264,0.23161202967002084
loo_without_f07,xgboost,0,0.6044061302681991,0.4551306504402378,0.2539461131109843
loo_without_f01,l2_logistic,1,0.6430686172065483,0.5265200895082074,0.2386487070540629
loo_without_f01,random_forest,1,0.6006617903169628,0.4906616506699128,0.2390946671570399
loo_without_f01,xgboost,1,0.5882096830372693,0.4838724180355722,0.24736087085574532
loo_without_f02,l2_logistic,1,0.6547370254266807,0.536114332933241,0.2334579653696183
loo_without_f02,random_forest,1,0.6273075583420411,0.4999997537389257,0.2337728981979011
loo_without_f02,xgboost,1,0.6214733542319749,0.5033393885158683,0.2400823419924948
loo_without_f03,l2_logistic,1,0.6206896551724138,0.4975021209017092,0.24407584235726437
loo_without_f03,random_forest,1,0.6057122953674678,0.47582537756577825,0.23841300538685548
loo_without_f03,xgboost,1,0.5707070707070708,0.47409850717892044,0.2594464960132028
loo_without_f04,l2_logistic,1,0.6509056078021596,0.5294592822711257,0.2360366100608546
loo_without_f04,random_forest,1,0.619644723092999,0.49407466616389983,0.23717834861031029
loo_without_f04,xgboost,1,0.6074538488331592,0.48443893927329107,0.2443586647866854
loo_without_f05,l2_logistic,1,0.6573493556252176,0.5465604257955355,0.23394429974107853
loo_without_f05,random_forest,1,0.6024904214559388,0.5001085980822881,0.23896936710835942
loo_without_f05,xgboost,1,0.5906478578892372,0.4857387492095015,0.2488244650317723
loo_without_f06,l2_logistic,1,0.6389759665621735,0.531219795476957,0.23630716091308493
loo_without_f06,random_forest,1,0.6003134796238244,0.4864698544677153,0.2393794308118074
loo_without_f06,xgboost,1,0.5844653430860328,0.47743669098338926,0.2573987410899049
loo_without_f07,l2_logistic,1,0.6415882967607106,0.5176743067756066,0.23918863723229322
loo_without_f07,random_forest,1,0.6170323928944619,0.508526574735568,0.23450803160011252
loo_without_f07,xgboost,1,0.6098049460118427,0.4998228920681501,0.2467203222115943
loo_without_f01,l2_logistic,2,0.6421978404737025,0.5223781568029215,0.2366479472822257
loo_without_f01,random_forest,2,0.577150818530129,0.4795648436109719,0.2448043624317254
loo_without_f01,xgboost,2,0.5706199930337862,0.46123126171313966,0.2540365723253771
loo_without_f02,l2_logistic,2,0.680947405085336,0.5715143114176937,0.23180902911761606
loo_without_f02,random_forest,2,0.6202542668059909,0.4872630397002543,0.23611653315865316
loo_without_f02,xgboost,2,0.6050156739811913,0.47888745224921725,0.2486801633090702
loo_without_f03,l2_logistic,2,0.6538662486938349,0.539382672863133,0.2340873136059558
loo_without_f03,random_forest,2,0.579763148728666,0.4755641488013999,0.24210410471567437
loo_without_f03,xgboost,2,0.5776732845698362,0.4591496646068093,0.2544672659696291
loo_without_f04,l2_logistic,2,0.6636189481017066,0.5407801370973887,0.23393570889327034
loo_without_f04,random_forest,2,0.6004876349703936,0.4785922975796172,0.2397940376045115
loo_without_f04,xgboost,2,0.5865552072448624,0.44025765571540293,0.25503764123865624
loo_without_f05,l2_logistic,2,0.6414141414141414,0.5353439037057812,0.23493599296238266
loo_without_f05,random_forest,2,0.5792406826889586,0.4912024142160763,0.2433209356846197
loo_without_f05,xgboost,2,0.5821142459073493,0.44859920364924327,0.253214642309544
loo_without_f06,l2_logistic,2,0.6450714036920933,0.5290171183584373,0.23389779667727353
loo_without_f06,random_forest,2,0.582201323580634,0.4559574441351703,0.24428062768294653
loo_without_f06,xgboost,2,0.5734064785788924,0.44012493977507283,0.2541830029863431
loo_without_f07,l2_logistic,2,0.6415882967607105,0.5268330237708897,0.23791270173352191
loo_without_f07,random_forest,2,0.6117206548241032,0.47381622218517283,0.23801177347577437
loo_without_f07,xgboost,2,0.6151166840822013,0.46262220508835844,0.24222629570129925
loo_without_f01,l2_logistic,3,0.6338383838383839,0.4992022510900071,0.24079769825860792
loo_without_f01,random_forest,3,0.6017938000696621,0.47227775539649136,0.2392214888204263
loo_without_f01,xgboost,3,0.5744514106583073,0.4504621549024824,0.26207608691883255
loo_without_f02,l2_logistic,3,0.6675374433995123,0.5408467551300515,0.23785225488874837
loo_without_f02,random_forest,3,0.6101532567049808,0.47750059576367077,0.2381833298708611
loo_without_f02,xgboost,3,0.5978753047718566,0.4674823905113465,0.24862626407393498
loo_without_f03,l2_logistic,3,0.634622082897945,0.5083300033319593,0.2393771802471958
loo_without_f03,random_forest,3,0.5972657610588644,0.4578905414683736,0.24128778491364516
loo_without_f03,xgboost,3,0.5796760710553815,0.4523074321202967,0.2582612145875448
loo_without_f04,l2_logistic,3,0.6307035876001392,0.5053314529534416,0.2431429777343386
loo_without_f04,random_forest,3,0.6051027516544758,0.47164821548167835,0.23906305677796832
loo_without_f04,xgboost,3,0.5898641588296761,0.450435701567535,0.2551657239361903
loo_without_f05,l2_logistic,3,0.6523859282479971,0.5533554480752514,0.2354570333411801
loo_without_f05,random_forest,3,0.6032741205154999,0.491402396299339,0.2401732326934202
loo_without_f05,xgboost,3,0.5531173807035876,0.4490737699209515,0.267087259901773
loo_without_f06,l2_logistic,3,0.6373214907697666,0.5212674061760257,0.2371130365756464
loo_without_f06,random_forest,3,0.584813653779171,0.46172694117057095,0.24350388675572132
loo_without_f06,xgboost,3,0.5608672936259143,0.46061034408173757,0.2639691813860904
loo_without_f07,l2_logistic,3,0.6125043538836643,0.5089961380201107,0.24190374852638616
loo_without_f07,random_forest,3,0.6152037617554859,0.46492785560291816,0.23778485698600438
loo_without_f07,xgboost,3,0.5821142459073494,0.44870778939250366,0.25643628685348735
loo_without_f01,l2_logistic,4,0.6470741901776383,0.5274500117223991,0.2383955042002393
loo_without_f01,random_forest,4,0.6357540926506444,0.5045594775158702,0.23325562331348335
loo_without_f01,xgboost,4,0.5832462556600487,0.4678883745132097,0.25591601961800614
loo_without_f02,l2_logistic,4,0.6535179380006966,0.5511501236590244,0.23376837479894716
loo_without_f02,random_forest,4,0.6441135492859632,0.4963252280357141,0.23168607392015678
loo_without_f02,xgboost,4,0.6065830721003136,0.4625445966684126,0.2547563955416244
loo_without_f03,l2_logistic,4,0.6371473354231976,0.5273047731868367,0.23804554340973333
loo_without_f03,random_forest,4,0.61337513061651,0.47768779251375004,0.2372836799635257
loo_without_f03,xgboost,4,0.5830721003134798,0.4702342551517834,0.25520518201539377
loo_without_f04,l2_logistic,4,0.6549111807732497,0.5391271882029693,0.23335984726305115
loo_without_f04,random_forest,4,0.6285266457680251,0.48855653398903365,0.23458540056544078
loo_without_f04,xgboost,4,0.6200801114594219,0.46599649493984535,0.24777320424700738
loo_without_f05,l2_logistic,4,0.6588296760710555,0.5457826195972957,0.2318919689972474
loo_without_f05,random_forest,4,0.6081504702194358,0.508431577061938,0.23878737439045794
loo_without_f05,xgboost,4,0.6038836642284918,0.49449839502714077,0.24381247407525505
loo_without_f06,l2_logistic,4,0.6361894810170672,0.5088247240987742,0.2386272802751761
loo_without_f06,random_forest,4,0.6237373737373737,0.4856185219020507,0.23518102306508495
loo_without_f06,xgboost,4,0.5899512365029607,0.4723071794193755,0.2493144727848378
loo_without_f07,l2_logistic,4,0.639063044235458,0.5162726676343944,0.23921943130784712
loo_without_f07,random_forest,4,0.634622082897945,0.4799538323357223,0.23429679985477525
loo_without_f07,xgboost,4,0.6217345872518287,0.47526790977759953,0.24395292133284355
loo_without_f01,l2_logistic,5,0.6619644723092999,0.5583981794518139,0.23710806114078115
loo_without_f01,random_forest,5,0.6313131313131313,0.51953361828771,0.23147103195489474
loo_without_f01,xgboost,5,0.6145942180424939,0.4903094329145328,0.24038866215876986
loo_without_f02,l2_logistic,5,0.6856495994427029,0.5687425971504049,0.22635976647927958
loo_without_f02,random_forest,5,0.6443747823058168,0.517151181517064,0.2303486119310489
loo_without_f02,xgboost,5,0.6350574712643678,0.5184417980894017,0.23774688504223007
loo_without_f03,l2_logistic,5,0.6679728317659352,0.5637129316570885,0.23109009649591453
loo_without_f03,random_forest,5,0.6174677812608848,0.4930473482993076,0.23543912570620126
loo_without_f03,xgboost,5,0.5950888192267503,0.48697807049123487,0.2497946681822494
loo_without_f04,l2_logistic,5,0.6727621037965865,0.5538384573196604,0.23031302720656938
loo_without_f04,random_forest,5,0.6501219087425985,0.5220213701263536,0.22853561852432222
loo_without_f04,xgboost,5,0.648554510623476,0.5220555084383617,0.2331924092554675
loo_without_f05,l2_logistic,5,0.6721525600835945,0.5534275122358089,0.22988026773621748
loo_without_f05,random_forest,5,0.6289620341344478,0.5098623462178369,0.23210712723573773
loo_without_f05,xgboost,5,0.624085684430512,0.49710369541700117,0.2378592436789037
loo_without_f06,l2_logistic,5,0.643504005572971,0.5301724326093009,0.2386629741818379
loo_without_f06,random_forest,5,0.6294845001741554,0.5150513222949108,0.2323561463667628
loo_without_f06,xgboost,5,0.6035353535353536,0.4920758950796791,0.2461456313024364
loo_without_f07,l2_logistic,5,0.6729362591431557,0.5678975372581196,0.23280201915243032
loo_without_f07,random_forest,5,0.6536050156739812,0.5117971178606655,0.2291241803757041
loo_without_f07,xgboost,5,0.6436781609195402,0.49211477817354,0.23449506491506844
