panel,model,patients,label_0,label_1,roc_auc,pr_auc,brier,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,brier_ci_low,brier_ci_high,repeat_auc_mean,repeat_auc_sd,repeat_auc_min,repeat_auc_max
loo_without_f01,l2_logistic,219,132,87,0.654040404040404,0.5385493852765207,0.23730397326204897,0.5744239798462564,0.7275687348044073,0.44016840191037176,0.6492302835446336,0.22923637253700074,0.24591188511271356,0.6473180076628353,0.008952010215438514,0.6338383838383839,0.6619644723092999
loo_without_f01,random_forest,219,132,87,0.6132009752699409,0.49807888827788477,0.23561113962146407,0.5350773508977663,0.6863186810106076,0.40742763363651335,0.610493716384633,0.22098530521433118,0.25078942295086715,0.607697666318356,0.018406205326848855,0.577150818530129,0.6357540926506444
loo_without_f01,xgboost,219,132,87,0.5882096830372692,0.4793806671601363,0.24571185059036685,0.514883308550762,0.6634854598812779,0.3865150053047488,0.5888362676997276,0.22535776381806633,0.26583075301281067,0.5854188436084987,0.0171067488046657,0.5544670846394983,0.6145942180424939
loo_without_f02,l2_logistic,219,132,87,0.6799895506792059,0.5648070262275655,0.22856193120523455,0.606101806162627,0.7484882728877303,0.46550830372976393,0.6741595056976346,0.21404444464419745,0.24438781242589858,0.6719435736677115,0.014364338427962706,0.6526471612678509,0.6931382793451759
loo_without_f02,random_forest,219,132,87,0.6381051898293278,0.5042015857058314,0.23233747547441883,0.5633713653905182,0.7123134045881718,0.41260945697822055,0.6235826936770211,0.2187867064174161,0.24653960217940057,0.6308429118773947,0.010473336310023606,0.6101532567049808,0.6443747823058168
loo_without_f02,xgboost,219,132,87,0.621647509578544,0.49101809062490276,0.23948591122486867,0.546841060568501,0.6935417675853893,0.4014458171072676,0.6053942398832045,0.21795082230550325,0.2628575558206532,0.6151384535005227,0.01713854441625793,0.5827673284569838,0.6374956461163357
loo_without_f03,l2_logistic,219,132,87,0.6637060257749914,0.5525046712511185,0.2326012828413818,0.5875590301403114,0.736336758061696,0.445568053704657,0.6627315283188804,0.21824132384022563,0.24754211425956138,0.6512974573319401,0.01858637528958228,0.6206896551724138,0.6775513758272378
loo_without_f03,random_forest,219,132,87,0.6098920236851272,0.48519512035486434,0.23770987508434144,0.5331096759568986,0.685962375068579,0.39543850265638153,0.6031252451839202,0.22455183006029894,0.25128917746165463,0.6010188087774294,0.015222991023521993,0.579763148728666,0.6223441309648207
loo_without_f03,xgboost,219,132,87,0.5810693138279346,0.4680607548607624,0.2497068136284754,0.5056035250133523,0.6558314812710602,0.3770296868554486,0.5842209707312052,0.22914741779842518,0.27149020409544916,0.5766718913270638,0.024474945655675758,0.5235980494601185,0.6119818878439568
loo_without_f04,l2_logistic,219,132,87,0.669627307558342,0.5568272962586198,0.23036597334443432,0.5982764462398289,0.7426737734738931,0.46231984994939046,0.6705224574007195,0.21561179158603277,0.24480537723562348,0.6618948101706722,0.0174148476972761,0.6307035876001392,0.6890456287008011
