feature_set,model,patients,label_0,label_1,roc_auc,pr_auc,brier,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,brier_ci_low,brier_ci_high,repeat_auc_mean,repeat_auc_sd
prior_core,lightgbm,219,132,87,0.4612504353883664,0.39396558115606517,0.28347426608872084,0.3834650117661051,0.5405989764052742,0.31339163253560726,0.4903330210280878,0.2569421962858409,0.3095293009885495,0.4763845350052246,0.02405431478065989
prior_core,random_forest,219,132,87,0.4907697666318356,0.418621578516891,0.2503728567492163,0.4110934995413006,0.5704684367144613,0.3337414612733874,0.5299285132877504,0.23955862250901172,0.2615702750912046,0.49456635318704284,0.016566650349158458
prior_core,xgboost,219,132,87,0.47439916405433646,0.3935380597870939,0.2771723932651242,0.3946164213883197,0.5514574793564565,0.3188582793028934,0.5008721917074871,0.253151022634945,0.3004549917737568,0.4831591779867642,0.018226558647965404
prior_plus_locked7,lightgbm,219,132,87,0.5705329153605015,0.4612306818237857,0.2571120534329358,0.49546262690292825,0.6507860310807584,0.3707324937703794,0.5737322131628999,0.22936291565491987,0.28408886191800997,0.5618599791013584,0.030614162008775182
prior_plus_locked7,random_forest,219,132,87,0.5847265761058864,0.44244999104482097,0.23975038556752867,0.5080131758323821,0.6589087301587301,0.361610236411129,0.5503430953331385,0.22795017731031716,0.25221062099682107,0.57663706025775,0.02394547880543533
prior_plus_locked7,xgboost,219,132,87,0.5792406826889586,0.45036636947786124,0.2512844139857516,0.5006746335901726,0.6537572888450082,0.36623853605511003,0.5571139861705426,0.22711364293726558,0.2757326265696262,0.5726314872866597,0.035056702951810396
