cohort,feature_set,model,repeat_index,roc_auc,pr_auc,brier,balanced_accuracy_at_0_5
complete4_n95,clinical,elasticnet_logistic,0,0.49144672531769307,0.38156802105892706,0.2556624440242196,0.4550342130987292
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,0,0.5777126099706744,0.4791527784901618,0.24494604524127978,0.5327468230694037
complete4_n95,combined,elasticnet_logistic,0,0.624633431085044,0.44999788184428674,0.23726911945586798,0.6175464320625611
complete4_n95,clinical,elasticnet_logistic,1,0.5136852394916911,0.3626276602993561,0.2528478518761939,0.5134408602150538
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,1,0.6016617790811339,0.4735728402092205,0.24048147744851028,0.5246823069403714
complete4_n95,combined,elasticnet_logistic,1,0.6119257086999023,0.4712227545846914,0.23999162696702428,0.5791788856304985
complete4_n95,clinical,elasticnet_logistic,2,0.5601173020527859,0.3902028082328021,0.25201623274081736,0.5349462365591398
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,2,0.6060606060606061,0.41984525226874614,0.2445613571992952,0.5246823069403714
complete4_n95,combined,elasticnet_logistic,2,0.6265884652981427,0.4701240903811905,0.23735156533498056,0.602394916911046
complete4_n95,clinical,elasticnet_logistic,3,0.543010752688172,0.37438937000791445,0.2505250379906184,0.5459433040078201
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,3,0.6011730205278593,0.4783990718500025,0.240953292947869,0.570136852394917
complete4_n95,combined,elasticnet_logistic,3,0.5962854349951124,0.47488091335832505,0.2407193819394658,0.5933528836754643
complete4_n95,clinical,elasticnet_logistic,4,0.5405669599217986,0.36549259399907125,0.25046772362621134,0.5520527859237536
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,4,0.6319648093841643,0.4552085607623411,0.24038463846185978,0.5862658846529815
complete4_n95,combined,elasticnet_logistic,4,0.6041055718475073,0.42638528930114244,0.24278669197526662,0.5862658846529815
complete4_n95,clinical,elasticnet_logistic,5,0.45332355816226777,0.32660804419256434,0.25845928036806415,0.4508797653958944
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,5,0.5977517106549365,0.4295122245112874,0.2434641644870202,0.5246823069403714
complete4_n95,combined,elasticnet_logistic,5,0.5694037145650049,0.4456276975564738,0.25273575464603165,0.5317693059628543
complete4_n95,clinical,elasticnet_logistic,6,0.5232160312805474,0.35925781347889446,0.25040231194549195,0.5288367546432062
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,6,0.6344086021505376,0.4662202550306162,0.24037120432148043,0.5640273704789833
complete4_n95,combined,elasticnet_logistic,6,0.663245356793744,0.48587258127774857,0.23015152237246614,0.595307917888563
complete4_n95,clinical,elasticnet_logistic,7,0.5053763440860215,0.36235699647531766,0.2518504757181528,0.4833822091886608
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,7,0.6397849462365591,0.5242155753142088,0.23472229458476238,0.5691593352883675
complete4_n95,combined,elasticnet_logistic,7,0.6485826001955034,0.5086056253623292,0.2307356020758503,0.5862658846529815
complete4_n95,clinical,elasticnet_logistic,8,0.52297165200391,0.36573800334663276,0.2455794829331749,0.4772727272727273
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,8,0.6036168132942327,0.47147631562953773,0.24560054091790573,0.5549853372434017
complete4_n95,combined,elasticnet_logistic,8,0.6622678396871945,0.4986009444825765,0.22967109848649522,0.5943304007820137
complete4_n95,clinical,elasticnet_logistic,9,0.5413000977517106,0.3863429176383066,0.24880210132965197,0.48826979472140764
complete4_n95,mri7_global_mechanistic,elasticnet_logistic,9,0.644672531769306,0.5450262813127064,0.2343766722617244,0.5933528836754643
complete4_n95,combined,elasticnet_logistic,9,0.6099706744868035,0.4591467606935171,0.2382148653656778,0.5943304007820137
age_bmi_n130,clinical,elasticnet_logistic,0,0.4635145197319434,0.3683083800564974,0.25474029080480015,0.48771407297096053
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,0,0.6142963514519733,0.48736154960261996,0.24248377737452478,0.6181434599156118
age_bmi_n130,combined,elasticnet_logistic,0,0.5554728220402084,0.431124674549639,0.25024566006417326,0.5656490444278978
