feature,missing,stable_median,unstable_median,pearson_r_with_label,spearman_r_with_label
2d__target__psoas__Aspect_Ratio__mean,1,0.7379415533705875,0.7741907757231232,0.10858248610914065,0.12019487649590968
2d__target_minus_cranial__multifidus__Mean_Intensity_Lean_Muscle__mean,0,-0.00427340374999995,-0.00711517,-0.12408094671373171,-0.11203306557596003
2d__target_minus_cranial__erector_spinae__Mean_Intensity_Lean_Muscle__mean,0,0.0086538287499999,0.0016021499999999,-0.1838715058961081,-0.18996911119401919
2d__target__erector_spinae__Texture_GLCM_Contrast__asymmetry,0,0.15274978559516456,0.2008313485665316,0.14440035165882564,0.1396354150656893
2d__target__erector_spinae__Std_Intensity_Muscle__asymmetry,0,0.085348393201073,0.1230487397330437,0.16275160666190308,0.17151834281853168
3d__global__multifidus__3D_Volume__asymmetry,0,0.038335936557730654,0.0486734232721957,0.15342147918955815,0.11513279466304192
3d_cross__erector_spinae__Centroid_Z_Drift__mean,0,9.858584043913567,10.0280747904735,0.12595166392110202,0.03675393060397107
