cohort,patients,comparison,combined_auc,mri_auc,paired_auc_difference,ci_low,ci_high
complete4_n95,95,combined_minus_mri7_global_mechanistic,0.6265884652981427,0.6207233626588465,0.0058651026392961825,-0.04284274193548377,0.05438150929360015
age_bmi_n130,130,combined_minus_mri7_global_mechanistic,0.6406056093323406,0.6502854306279474,-0.00967982129560685,-0.02259125001465418,0.0025640589316430727
all_native_missing_n312,312,combined_native_missing_minus_mri7_global_mechanistic,0.5365401207937879,0.5516824849007765,-0.01514236410698866,-0.03748056220095695,0.006136842974175793
locked7_complete4_overlap_n68,68,combined_locked7_clinical_minus_v7_label_selected_locked7,0.708498023715415,0.6857707509881423,0.022727272727272707,-0.057696540880503154,0.1041932338444897
